"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","14","","16","0","","0"
"0","GotPhoto Order Flow","1","Traditional Plus","0","0","Full automation flow including image upload and payment","0"
